Januari,0,0,0
Februari,13,0
Mars,1435,180,409
April,21092,2586,1069
May,26322,3220,155
Juni,0,0,0
Juli,0,0,0
Augusti,0,0,0
September,0,0
Oktober,0,0,0
November,0,0,0
December,0,0,0
