2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,1
3/8/2020,1
3/9/2020,0
3/10/2020,2
3/11/2020,1
3/12/2020,0
3/13/2020,2
3/14/2020,6
3/15/2020,5
3/16/2020,5
3/17/2020,4
3/18/2020,14
3/19/2020,8
3/20/2020,16
3/21/2020,14
3/22/2020,24
3/23/2020,41
3/24/2020,32
3/25/2020,31
3/26/2020,38
3/27/2020,31
3/28/2020,28
3/29/2020,39
3/30/2020,32
3/31/2020,33
4/1/2020,47
4/2/2020,46
4/3/2020,42
4/4/2020,37
4/5/2020,45
4/6/2020,43
4/7/2020,43
4/8/2020,48
4/9/2020,35
4/10/2020,38
4/11/2020,45
4/12/2020,35
4/13/2020,44
4/14/2020,41
4/15/2020,33
4/16/2020,32
4/17/2020,40
4/18/2020,29
4/19/2020,35
4/20/2020,27
4/21/2020,36
4/22/2020,50
4/23/2020,23
4/24/2020,44
4/25/2020,29
4/26/2020,25
4/27/2020,27
4/28/2020,31
4/29/2020,24
4/30/2020,33
5/1/2020,16
5/2/2020,30
5/3/2020,25
5/4/2020,25
5/5/2020,16
5/6/2020,22
5/7/2020,18
5/8/2020,3
5/9/2020,13
5/10/2020,17
5/11/2020,9
5/12/2020,2
