3/11/2020,1
3/12/2020,0
3/13/2020,1
3/14/2020,1
3/15/2020,2
3/16/2020,2
3/17/2020,1
3/18/2020,6
3/19/2020,7
3/20/2020,9
3/21/2020,8
3/22/2020,11
3/23/2020,11
3/24/2020,21
3/25/2020,22
3/26/2020,31
3/27/2020,32
3/28/2020,35
3/29/2020,38
3/30/2020,44
3/31/2020,49
4/1/2020,53
4/2/2020,70
4/3/2020,78
4/4/2020,72
4/5/2020,86
4/6/2020,90
4/7/2020,84
4/8/2020,115
4/9/2020,86
4/10/2020,90
4/11/2020,103
4/12/2020,97
4/13/2020,85
4/14/2020,91
4/15/2020,114
4/16/2020,110
4/17/2020,82
4/18/2020,89
4/19/2020,89
4/20/2020,83
4/21/2020,62
4/22/2020,76
4/23/2020,83
4/24/2020,85
4/25/2020,73
4/26/2020,70
4/27/2020,71
4/28/2020,69
4/29/2020,71
4/30/2020,64
5/1/2020,67
5/2/2020,61
5/3/2020,60
5/4/2020,57
5/5/2020,37
5/6/2020,32
5/7/2020,21
5/8/2020,4
5/9/2020,25
5/10/2020,19
5/11/2020,16
5/12/2020,3
